loss;epoch;iteration;global_iteration
0.34260690212249756;0;100;100
0.24973781406879425;1;50;200
0.20862722396850586;1;150;300
0.12619099020957947;2;100;400
0.06044960021972656;3;50;500
0.07559067010879517;3;150;600
0.08745736628770828;4;100;700
0.13756230473518372;5;50;800
0.04991791024804115;5;150;900
0.0470496341586113;6;100;1000
0.0830373466014862;7;50;1100
0.046341363340616226;7;150;1200
0.01881052553653717;8;100;1300
0.025163551792502403;9;50;1400
0.025127360597252846;9;150;1500
0.01599692739546299;10;100;1600
0.031096363440155983;11;50;1700
0.038962725549936295;11;150;1800
0.025552410632371902;12;100;1900
0.04239873215556145;13;50;2000
0.011125895194709301;13;150;2100
0.03451746329665184;14;100;2200
0.02652573212981224;15;50;2300
0.030075492337346077;15;150;2400
0.012518715113401413;16;100;2500
0.024458695203065872;17;50;2600
0.01454995945096016;17;150;2700
0.029585590586066246;18;100;2800
0.02409454993903637;19;50;2900
0.031069407239556313;19;150;3000
0.023309053853154182;20;100;3100
0.014732062816619873;21;50;3200
0.00859127752482891;21;150;3300
0.018403135240077972;22;100;3400
0.01183937955647707;23;50;3500
0.02661457099020481;23;150;3600
0.0010996097698807716;24;100;3700
0.017818007618188858;25;50;3800
0.00880755390971899;25;150;3900
0.007470911834388971;26;100;4000
0.011929665692150593;27;50;4100
0.013842189684510231;27;150;4200
0.008382221683859825;28;100;4300
0.00564855569973588;29;50;4400
0.008854572661221027;29;150;4500
0.012195923365652561;30;100;4600
0.005465931259095669;31;50;4700
0.004827682860195637;31;150;4800
0.005364936776459217;32;100;4900
0.0035537071526050568;33;50;5000
0.008683268912136555;33;150;5100
0.0036690356209874153;34;100;5200
0.004181096330285072;35;50;5300
0.005076492205262184;35;150;5400
0.022170133888721466;36;100;5500
0.0015160347102209926;37;50;5600
0.0063675278797745705;37;150;5700
0.0018838542746379972;38;100;5800
0.0077621061354875565;39;50;5900
0.008741756901144981;39;150;6000
0.013674336485564709;40;100;6100
0.0020618895068764687;41;50;6200
0.00624206243082881;41;150;6300
0.005913264118134975;42;100;6400
0.006969394162297249;43;50;6500
0.0025099245831370354;43;150;6600
0.003508784808218479;44;100;6700
0.0024078923743218184;45;50;6800
0.0027028105687350035;45;150;6900
0.010814912617206573;46;100;7000
0.0022385839838534594;47;50;7100
0.0035135464277118444;47;150;7200
0.002544470364227891;48;100;7300
0.004772948566824198;49;50;7400
0.002978743053972721;49;150;7500
0.0022015308495610952;50;100;7600
0.0007840511971153319;51;50;7700
0.0015940924640744925;51;150;7800
0.0015986673533916473;52;100;7900
0.002599196508526802;53;50;8000
0.0004623463610187173;53;150;8100
0.0008400829392485321;54;100;8200
0.0011491432087495923;55;50;8300
0.00461171381175518;55;150;8400
0.002332620322704315;56;100;8500
0.0010846031364053488;57;50;8600
0.0008958902908489108;57;150;8700
0.0012486943742260337;58;100;8800
0.0009583673090673983;59;50;8900
0.0009765857830643654;59;150;9000
